,category_cluster,supplier_name,2019-08-01,2019-08-02,2019-08-03,2019-08-04,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-10,2019-08-11,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-17,2019-08-18,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-24,2019-08-25,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-08-31,2019-09-01,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-07,2019-09-08,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-14,2019-09-15,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-21,2019-09-22,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-28,2019-09-29,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09
235,Lifestyle,VN_CN CÔNG TY CP SÁCH THÁI HÀ_Outright,9925.659,9925.659,9925.659,9925.659,9925.659,16780.545,16780.545,16780.545,16780.545,16780.545,12992.02,12992.02,12992.02,8706.548,8706.548,8706.548,8706.548,8513.524,8513.524,8513.524,9363.287,9363.287,9007.125,9007.125,8091.927,8091.927,8091.927,22379.773,22379.773,22379.773,22379.773,22371.174,22371.174,22686.697,24289.547,17437.295,17437.295,17437.295,17437.295,17437.295,17437.295,17437.295,17437.295,17437.295,17437.295,17437.295,17437.295,5254.6553,5254.6553,5254.6553,4405.219,4405.219,4405.219,4405.219,5243.2803,5243.2803,5243.2803,993.3479,993.3479,993.3479,993.3479,1424.2938,1424.2938,481.011,481.011,879.6722,879.6722,879.6722,982.62427,982.62427
236,EL,VN_CN CTY TNHH TM KT TIN HỌC ANH NGỌC (TP-HN)_OUTRIGHT,5435.138,5435.138,5435.138,5435.138,5435.138,5435.138,5435.138,5435.138,5435.138,5435.138,5435.138,5435.138,5022.9785,4011.994,4011.994,4011.994,4011.994,4011.994,4011.994,4011.994,2851.1274,2851.1274,2851.1274,2851.1274,2851.1274,2851.1274,2851.1274,2851.1274,2851.1274,2851.1274,2851.1274,2850.0317,2850.0317,2850.0317,2850.0317,2850.0317,2850.0317,2850.0317,2850.0317,2850.0317,2850.0317,2850.0317,2850.0317,3203.7407,3203.7407,3203.7407,3203.7407,3203.7407,3203.7407,3203.7407,353.70874,353.70874,353.70874,353.70874,353.70874,1008.323,1008.323,1008.323,1008.323,1008.323,1693.8035,1694.0068,1694.0068,1694.0068,1694.0068,1694.0068,1694.0068,1694.0068,12075.386,12075.386
237,FMCG,VN_CN CTY CP XNK TM Đài Linh_Outright,6489.0967,6489.0967,2884.043,2884.043,2884.043,2884.043,2884.043,2884.043,2884.043,2884.043,2884.043,2884.043,2884.043,6485.4917,6485.4917,6489.0967,6489.0967,6489.0967,6489.0967,6489.0967,6489.0967,6489.0967,6489.0967,6489.0967,6489.0967,6489.0967,6489.0967,3605.0537,3605.0537,3605.0537,3605.0537,3603.6685,3603.6685,7207.337,7207.337,7207.337,7207.337,7207.337,7207.337,7207.337,7207.337,7207.337,7207.337,3787.4556,3787.4556,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3783.8518,3784.3064,3784.3064,180.20506,180.20506,2050.7256,2050.7256,2050.7256,2050.7256,2050.7256
238,EL,VN_CN CTY CP GOLDSUN VN (TP.HN)_OUTRIGHT,158.70073,158.70073,158.70073,158.70073,158.70073,158.70073,158.70073,158.70073,158.70073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5466.922,5466.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Lifestyle,VN_CHẤN LONG_Outright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,EL,VN_CHI NHÁNH CÔNG TY TNHH NHÀ SƠN VÂN_Outright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,FMCG,VN_CHI NHÁNH CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI MESA_Outright,53478.164,42579.14,42579.14,44245.03,44245.03,44245.03,44245.03,44424.78,44424.78,39171.81,31378.459,29712.568,24412.736,15526.078,15526.078,15526.078,15526.078,10812.509,6924.409,29730.592,29730.592,29748.113,27097.863,27097.863,27097.863,27097.863,27097.863,27097.863,27097.863,27097.863,27097.863,27087.453,27087.453,27087.453,27087.453,27087.453,27087.453,22814.934,22814.934,22814.934,22814.934,22814.934,22814.934,22814.934,42759.844,42759.844,42759.844,42759.844,42759.844,19962.422,19962.422,19944.908,19944.908,23287.066,23287.066,23659.904,23659.904,23659.904,23659.904,23659.904,23659.904,23662.744,23662.744,23662.744,23662.744,23662.744,23662.744,23662.744,23662.744,23662.744
242,FMCG,VN_CHI NHÁNH CÔNG TY TNHH DKSH VIỆT NAM TẠI HÀ NỘI_Outright,51412.895,45111.008,44987.742,44987.742,45629.062,45629.062,95193.29,95193.29,123476.9,121056.88,104673.21,104673.21,90922.77,106582.87,128294.85,128453.65,82401.02,82401.02,84938.234,103270.9,103270.9,117653.94,123381.23,127772.06,127772.06,127772.06,132677.44,125298.7,120190.984,130270.55,143598.75,139568.06,139568.06,150463.64,150463.64,150463.64,152310.61,152310.61,153631.39,153188.89,153188.89,153188.89,147656.39,138683.08,128180.48,128021.734,154335.97,154335.97,147615.84,129290.22,137792.62,131272.84,138806.6,133767.8,147201.11,147273.94,142370.45,149980.75,157007.8,145182.06,168039.42,189017.2,189017.2,178120.33,178120.33,180021.05,192309.47,192309.47,199073.31,199261.34
243,EL,VN_CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐIỆN LẠNH ĐIỆN MÁY VIỆT ÚC_Outright,1184.856,1184.856,1184.856,1184.856,1184.856,1184.856,1184.856,1184.856,1184.856,1184.856,1184.856,1184.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.1092,543.1092,543.1092,543.1092,543.1092,543.1092,543.1092,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,542.9005,0.0,1672.573,1672.573,1672.573,1672.573,1672.573,1672.573,1672.7738,1672.7738,1672.7738,1672.7738,1672.7738,1672.7738,1672.7738,1672.7738,1672.7738
244,FMCG,VN_CHI NHÁNH CÔNG TY CP ACECOOK VIỆT NAM TẠI HƯNG YÊN _Outright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,FMCG,VN_CHI NHÁNH CTY CP SỮA VIỆT NAM TẠI HÀ NỘI_Outright,1193.4722,1193.4722,1193.4722,1193.4722,2703.0054,2703.0054,5154.299,5154.299,5205.5317,5205.5317,5205.5317,5205.5317,5205.5317,5205.5317,5995.3267,10377.883,10706.533,10706.533,10706.533,9197.0,9197.0,6745.7065,6745.7065,6694.4736,6694.4736,6694.4736,6694.4736,6694.4736,6694.4736,5904.6787,328.6507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.42554,479.42554,479.42554,479.42554,479.42554,479.42554,479.42554,479.42554,479.42554,479.42554,479.42554,479.42554,3712.672,5125.144,5125.144,4645.7188,4645.7188,4646.2764,4646.2764,4646.2764,4646.2764,4646.2764,4646.2764,6468.5938,6468.5938,6468.5938
246,,VN_Công ty TNHH Thương mại Dịch vụ Huệ Thiên Phúc_Outright,5196.871,5196.871,5196.871,5196.871,5196.871,5196.871,5196.871,5196.871,5196.871,5196.871,4091.8435,4091.8435,4091.8435,4091.8435,4091.8435,4091.8435,3438.0938,3193.9993,3193.9993,3193.9993,3193.9993,3193.9993,3193.9993,9329.048,10642.385,10642.385,10642.385,10642.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
